marca;modelo;ano;tipo_carroceria;tipo_combustivel;transmissão;quilometragem;preço;condição;estado;uf;pais;idade;km_ano
Volkswagen;Taigun;2021;SUV;Petrol;Automatic;48642;17219,00;excellent;Fosterside;MI;US;4;12160,50
Nissan;Sentra;2025;Pickup;Petrol;CVT;102993;47326,00;excellent;Johannesburg;KZN;South Africa;0;13684,21
Kia;Sportage;2016;Hatchback;Hybrid;Manual;208932;2048,00;excellent;Dupré;IDF;France;9;23214,67
Tata;Nexon;2021;Van;Hybrid;Automatic;66704;7325,00;good;Amandachester;NSW;Australia;4;16676,00
Nissan;Sentra;2013;Sedan;Petrol;Automatic;142571;1709,00;excellent;North Gemma;NIR;UK;12;11880,92
Nissan;Altima;2018;SUV;Petrol;Manual;133124;6240,00;fair;Cottbus;SH;Germany;7;19017,71
Skoda;Octavia;2018;Crossover;Petrol;CVT;80775;7284,00;excellent;Jimenezchester;CA;US;7;11539,29
Kia;Sonet;2015;MPV;Diesel;Manual;178116;2919,00;good;Osterode am Harz;SL;Germany;10;17811,60
Audi;A6;2013;SUV;Electric;Automatic;91350;2848,00;salvage;Hollowaymouth;NB;Canada;12;7612,50
Tata;Nexon;2012;Hatchback;Petrol;Manual;182203;1317,00;fair;Port Davidhaven;WA;US;13;14015,62
Chevrolet;Trax;2017;Convertible;Diesel;Manual;63068;8992,00;excellent;Port Ian;SA;Australia;8;7883,50
Mercedes-Benz;C-Class;2018;Van;Hybrid;CVT;139682;5540,00;salvage;Benoit;NAQ;France;7;19954,57
Maruti;Ertiga;2012;MPV;Petrol;Automatic;235335;1175,00;good;三宅島三宅村;Aichi;Japan;13;18102,69
Kia;Sonet;2013;MPV;Diesel;Manual;224293;1640,00;good;富里市;Kyoto;Japan;12;18691,08
Mahindra;XUV700;2025;Pickup;Petrol;Automatic;102993;29882,00;good;Marymouth;VIC;Australia;0;13684,21
Nissan;Magnite;2018;MPV;Petrol;Automatic;63520;5754,00;fair;Lake Darlene;GA;US;7;9074,29
Nissan;Altima;2010;Van;Hybrid;Manual;229526;1153,00;good;Michaeltown;WA;Australia;15;15301,73
Maruti;Swift;2023;SUV;Diesel;Manual;31501;20225,00;new;Santos de Goiás;AM;Brazil;2;15750,50
Volkswagen;Tiguan;2014;Hatchback;Petrol;Automatic;175127;1538,00;like new;Jasontown;MB;Canada;11;15920,64
Mahindra;XUV700;2012;Crossover;Petrol;Manual;295708;1195,00;fair;Warendorf;MV;Germany;13;22746,77
Chevrolet;Trax;2018;Sedan;Petrol;Automatic;136483;4477,00;fair;Eisenach;RP;Germany;7;19497,57
Tata;Nexon;2016;Sedan;Petrol;Automatic;137402;1365,00;fair;Vargas;RJ;Brazil;9;15266,89
Ford;Escape;2015;MPV;Petrol;CVT;148908;2244,00;excellent;Gomes;BA;Brazil;10;14890,80
Mahindra;XUV700;2017;Van;Petrol;Manual;135400;3980,00;excellent;Masse-les-Bains;PDL;France;8;16925,00
Skoda;Octavia;2013;Sedan;Petrol;Automatic;184691;1913,00;excellent;Chandrapur;DL;India;12;15390,92
Toyota;Camry;2019;Pickup;Petrol;Manual;100446;8497,00;good;Morrisonfort;NSW;Australia;6;16741,00
Mercedes-Benz;GLA;2024;Hatchback;Plug-in Hybrid;Manual;9038;36943,00;like new;Tadepalligudem;DL;India;1;9038,00
Skoda;Octavia;2021;MPV;Petrol;Manual;64375;10250,00;desconhecido;Port Mackenzie;AB;Canada;4;16093,75
Mercedes-Benz;E-Class;2015;Convertible;Petrol;Manual;111182;7011,00;excellent;Joshuatown;QLD;Australia;10;11118,20
Mercedes-Benz;GLC;2018;MPV;Petrol;Automatic;91474;11612,00;good;Burgdorf;BY;Germany;7;13067,71
Honda;Civic;2025;MPV;CNG;Automatic;102993;29593,00;good;Calw;SN;Germany;0;13684,21
Kia;Sportage;2007;Convertible;Diesel;Automatic;254023;1202,00;excellent;Farias;RS;Brazil;18;14112,39
Chevrolet;Malibu;2014;Crossover;Electric;Automatic;110320;2755,00;excellent;South Kristen;FL;US;11;10029,09
Skoda;Slavia;2020;Convertible;Electric;Manual;87964;15969,00;good;Howrah;KA;India;5;17592,80
Tata;Nexon;2012;Hatchback;Plug-in Hybrid;Automatic;99257;1309,00;excellent;Kirstyport;NIR;UK;13;7635,15
Chevrolet;Malibu;2021;Crossover;Petrol;Automatic;56384;12656,00;good;West Amandafort;PA;US;4;14096,00
BMW;X5;2021;MPV;Electric;CVT;55073;19060,00;fair;Guwahati;KA;India;4;13768,25
Kia;Sonet;2012;Coupe;Diesel;Automatic;94540;2263,00;good;Markchester;ACT;Australia;13;7272,31
BMW;X5;2020;Convertible;Petrol;Manual;80409;19772,00;excellent;South Jasonport;AZ;US;5;16081,80
BMW;X5;2019;Pickup;Petrol;Manual;62132;19078,00;good;Wayneburgh;NIR;UK;6;10355,33
Mercedes-Benz;C-Class;2021;MPV;Petrol;Automatic;54712;23109,00;like new;東大和市;Kyoto;Japan;4;13678,00
Kia;Seltos;2019;Convertible;Hybrid;Automatic;51977;9198,00;fair;Wendyville;SA;Australia;6;8662,83
BMW;X3;2019;Crossover;Petrol;CVT;78301;12760,00;excellent;Benjaminport;ENG;UK;6;13050,17
Nissan;Altima;2021;Coupe;Hybrid;Automatic;79820;10268,00;fair;Bilaspur;WB;India;4;19955,00
Chevrolet;Malibu;2012;MPV;Petrol;Automatic;220989;1373,00;good;Alexandre-sur-Guérin;BFC;France;13;16999,15
Mercedes-Benz;E-Class;2018;SUV;Petrol;Manual;108623;7726,00;fair;East Kelly;OH;US;7;15517,57
Volkswagen;Taigun;2013;Sedan;Petrol;Automatic;153689;1502,00;desconhecido;Abreu;RJ;Brazil;12;12807,42
Tata;Harrier;2020;Van;Hybrid;CVT;60625;5611,00;fair;Theresachester;MI;US;5;12125,00
Nissan;Rogue;2012;Sedan;Petrol;Manual;272145;1573,00;like new;Warangal;TN;India;13;20934,23
Audi;Q3;2013;MPV;Hybrid;Manual;181910;3434,00;excellent;Henry;OCC;France;12;15159,17
Audi;A4;2013;MPV;Petrol;CVT;208864;2485,00;good;Fallingbostel;BB;Germany;12;17405,33
Toyota;Tacoma;2022;Sedan;Hybrid;Automatic;52760;14296,00;good;渋谷区;Okinawa;Japan;3;17586,67
Skoda;Slavia;2019;SUV;Petrol;Automatic;87034;7960,00;good;Correia de Minas;RJ;Brazil;6;14505,67
BMW;X3;2012;Coupe;Diesel;Manual;268697;2537,00;good;八王子市;Kanagawa;Japan;13;20669,00
BMW;X3;2011;MPV;Petrol;Automatic;214112;1965,00;excellent;Fogaça Verde;SP;Brazil;14;15293,71
Audi;Q3;2008;Coupe;Petrol;CVT;418428;1285,00;salvage;Bhiwandi;DL;India;17;24613,41
Honda;CR-V;2017;MPV;Hybrid;Automatic;71056;5965,00;excellent;Barberport;WA;US;8;8882,00
Mahindra;Scorpio;2016;Pickup;Hybrid;Automatic;109151;4327,00;fair;Lévy;OCC;France;9;12127,89
Ford;F-150;2015;Pickup;Hybrid;Automatic;91112;5346,00;good;Hansenmouth;WA;Australia;10;9111,20
Hyundai;Sonata;2017;SUV;Electric;CVT;63434;7764,00;like new;New Randymouth;GA;US;8;7929,25
Hyundai;i20;2018;Sedan;Diesel;Automatic;126241;6504,00;excellent;Bareilly;KA;India;7;18034,43
BMW;X3;2015;Sedan;Petrol;Automatic;128714;3420,00;good;Lake Angelaborough;GA;US;10;12871,40
Toyota;Corolla;2018;Crossover;Hybrid;Manual;179542;4406,00;good;Sainte Audrey;BFC;France;7;25648,86
Mercedes-Benz;GLA;2009;Convertible;Diesel;Manual;355255;1809,00;good;Lemoine-sur-Mer;HDF;France;16;22203,44
Toyota;Innova;2012;Van;Petrol;Automatic;309604;1517,00;good;Panihati;TG;India;13;23815,69
Hyundai;Tucson;2016;Sedan;Hybrid;Automatic;178685;2902,00;good;Karimnagar;TG;India;9;19853,89
Skoda;Octavia;2018;Coupe;Petrol;Automatic;91059;7123,00;fair;Adoni;UP;India;7;13008,43
BMW;5 Series;2013;SUV;Electric;Automatic;145138;3305,00;good;North Patriciaville;NB;Canada;12;12094,83
Volkswagen;Jetta;2022;Van;Petrol;Manual;42827;12598,00;fair;East Caleb;SK;Canada;3;14275,67
Mahindra;Bolero;2019;Pickup;Hybrid;Automatic;49020;9529,00;excellent;West Melissa;WLS;UK;6;8170,00
Skoda;Kushaq;2022;Pickup;Petrol;Manual;36679;19189,00;fair;Abbottview;SCT;UK;3;12226,33
Audi;A4;2017;MPV;Plug-in Hybrid;Manual;70352;9872,00;like new;Port Natashabury;ACT;Australia;8;8794,00
Skoda;Slavia;2020;Convertible;Petrol;Manual;60412;15957,00;new;Elainebury;SCT;UK;5;12082,40
Mahindra;Scorpio;2014;MPV;Diesel;Automatic;124476;1390,00;good;Allenville;TX;US;11;11316,00
Volkswagen;Jetta;2015;Pickup;Petrol;Automatic;82733;4176,00;fair;Lake Maxbury;NIR;UK;10;8273,30
Mahindra;Scorpio;2016;Sedan;Electric;Manual;51791;3660,00;excellent;New Jayne;SCT;UK;9;5754,56
Ford;Explorer;2017;MPV;Petrol;AMT;119855;5274,00;good;Solapur;MH;India;8;14981,88
Toyota;RAV4;2014;Convertible;Hybrid;Automatic;236621;2603,00;good;Ahaus;BE;Germany;11;21511,00
Toyota;Corolla;2017;Van;Petrol;Automatic;65275;6180,00;good;Pamelaburgh;SA;Australia;8;8159,38
Audi;A6;2024;SUV;Diesel;Automatic;11984;37846,00;fair;Mathura;HR;India;1;11984,00
Audi;Q3;2020;MPV;Hybrid;Automatic;78709;12475,00;good;West Valeriefurt;WA;Australia;5;15741,80
Chevrolet;Silverado;2015;Crossover;Diesel;Automatic;79836;3438,00;fair;Kristinaside;MA;US;10;7983,60
Nissan;Rogue;2017;Pickup;Petrol;Manual;134556;7725,00;good;Plauen;SN;Germany;8;16819,50
Chevrolet;Silverado;2012;SUV;Electric;CVT;220065;1684,00;good;Rajahmundry;PB;India;13;16928,08
Hyundai;i20;2021;MPV;Petrol;Manual;63472;10713,00;good;Port Douglasland;SCT;UK;4;15868,00
Toyota;Camry;2006;Crossover;Electric;Automatic;186617;1271,00;like new;West Holly;QC;Canada;19;9821,95
Mahindra;Scorpio;2021;Coupe;Petrol;Manual;43723;10703,00;excellent;West Timothytown;NSW;Australia;4;10930,75
Nissan;Magnite;2019;Hatchback;Petrol;Manual;90041;4897,00;desconhecido;New Kelly;SCT;UK;6;15006,83
BMW;X5;2013;Sedan;Plug-in Hybrid;Manual;77362;3626,00;fair;East London;KZN;South Africa;12;6446,83
Kia;Sorento;2023;Crossover;Diesel;Automatic;32194;20038,00;excellent;Whitechester;SK;Canada;2;16097,00
BMW;5 Series;2016;Hatchback;Hybrid;Manual;142376;3432,00;excellent;South Stephenfort;NS;Canada;9;15819,56
Tata;Harrier;2018;MPV;Hybrid;CVT;59367;3982,00;fair;Nguyenburgh;NT;Australia;7;8481,00
Mercedes-Benz;C-Class;2020;Convertible;Petrol;Automatic;71929;22026,00;excellent;Bairdchester;MA;US;5;14385,80
Honda;CR-V;2013;SUV;Petrol;Manual;95217;3044,00;good;West Amychester;QLD;Australia;12;7934,75
Toyota;Camry;2012;Crossover;Diesel;Manual;153837;1303,00;fair;Siqueira;SP;Brazil;13;11833,62
Honda;City;2015;Pickup;Diesel;Automatic;144529;3229,00;good;Lake Bruce;WLS;UK;10;14452,90
Ford;F-150;2017;Van;Petrol;Automatic;99401;5292,00;excellent;Garciabury;NS;Canada;8;12425,12
Hyundai;Tucson;2021;Sedan;CNG;Automatic;45982;10453,00;good;Smithchester;SCT;UK;4;11495,50
Mahindra;Bolero;2020;SUV;Diesel;CVT;82527;5313,00;fair;Cookside;WA;US;5;16505,40
Volkswagen;Jetta;2015;Van;CNG;Automatic;190425;2362,00;fair;Celle;HH;Germany;10;19042,50
Tesla;Model Y;2017;Sedan;Petrol;Manual;157768;6528,00;good;Naila;BW;Germany;8;19721,00
Nissan;Magnite;2017;Convertible;Petrol;Automatic;108450;5418,00;good;East Samantha;WA;US;8;13556,25
BMW;X5;2017;Coupe;Petrol;Manual;73559;8650,00;fair;South Ruben;ON;Canada;8;9194,88
Audi;A4;2020;Pickup;Diesel;Automatic;127702;21386,00;excellent;Sainte Julie-sur-Mer;PDL;France;5;25540,40
Ford;Explorer;2018;MPV;Petrol;Manual;178950;4603,00;excellent;横浜市中区;Fukuoka;Japan;7;25564,29
Honda;City;2012;Convertible;Hybrid;Manual;331512;1916,00;good;Eilenburg;BY;Germany;13;25500,92
Maruti;Wagon R;2021;SUV;Electric;Automatic;57411;11513,00;fair;Sainte Grégoire;PDL;France;4;14352,75
Kia;Sorento;2012;Van;Petrol;Automatic;217943;1578,00;like new;香取市;Osaka;Japan;13;16764,85
BMW;X3;2012;Crossover;Diesel;Automatic;94892;3510,00;good;Cape Town;WC;South Africa;13;7299,38
Toyota;RAV4;2009;Coupe;Electric;Automatic;171847;1287,00;like new;Port Rachel;NSW;Australia;16;10740,44
Mercedes-Benz;E-Class;2022;MPV;Petrol;Automatic;43300;22878,00;excellent;Alexismouth;QLD;Australia;3;14433,33
Kia;Sonet;2013;SUV;Hybrid;Automatic;183179;1659,00;fair;South Brandonfurt;MB;Canada;12;15264,92
Toyota;Highlander;2013;MPV;Electric;Automatic;77876;2646,00;good;South Sean;NT;Australia;12;6489,67
Kia;Sorento;2023;Crossover;Petrol;Automatic;28116;10100,00;salvage;Lutzview;MB;Canada;2;14058,00
Mahindra;Scorpio;2019;MPV;Petrol;Manual;89501;6308,00;excellent;Großenhain;SN;Germany;6;14916,83
Ford;Maverick;2016;Van;Diesel;CVT;149234;4638,00;excellent;葛飾区;Kanagawa;Japan;9;16581,56
Audi;A4;2017;Coupe;Diesel;CVT;182021;3607,00;salvage;我孫子市;Aichi;Japan;8;22752,62
Kia;Sonet;2021;Pickup;Petrol;Automatic;78220;18050,00;good;Halberstadt;HE;Germany;4;19555,00
Mahindra;Scorpio;2015;Van;Petrol;Automatic;182801;1974,00;good;Neustadtner Waldnaab;SN;Germany;10;18280,10
Volkswagen;Taigun;2013;SUV;CNG;Manual;181174;2826,00;excellent;BretonVille;OCC;France;12;15097,83
Tesla;Model 3;2014;Sedan;Diesel;Manual;151444;2358,00;fair;West Craigberg;NS;Canada;11;13767,64
Ford;Escape;2012;Hatchback;Electric;Automatic;125706;1315,00;fair;Michelleshire;SK;Canada;13;9669,69
Volkswagen;Jetta;2013;Crossover;Electric;Automatic;98234;2103,00;fair;Durban;NC;South Africa;12;8186,17
Tata;Nexon;2020;SUV;Diesel;Automatic;37654;9946,00;desconhecido;Taylorfort;NT;Australia;5;7530,80
Maruti;Ertiga;2011;Van;Petrol;Manual;159487;1150,00;good;Durban;FS;South Africa;14;11391,93
Maruti;Dzire;2017;Crossover;Petrol;Manual;197776;1947,00;fair;Wurzen;RP;Germany;8;24722,00
Kia;Sportage;2014;Convertible;Petrol;Automatic;152595;2105,00;fair;Brownburgh;NS;Canada;11;13872,27
Hyundai;Creta;2012;MPV;Diesel;Automatic;161986;2102,00;excellent;Laurent;BFC;France;13;12460,46
Mercedes-Benz;GLC;2012;Coupe;Petrol;Manual;176027;2031,00;fair;da Paz;AM;Brazil;13;13540,54
Nissan;Altima;2015;Hatchback;Petrol;Automatic;109702;1782,00;fair;Bloemfontein;EC;South Africa;10;10970,20
Mercedes-Benz;GLA;2016;Convertible;Petrol;Automatic;95007;7886,00;good;West Nathanstad;ON;Canada;9;10556,33
Skoda;Kushaq;2006;SUV;Diesel;Automatic;260000;1168,00;fair;Garcia dos Dourados;RJ;Brazil;19;13684,21
Kia;Sorento;2012;Van;Petrol;Manual;343909;1485,00;good;Saint Victoire;ARA;France;13;26454,54
Honda;City;2013;MPV;Plug-in Hybrid;Automatic;144752;2791,00;excellent;山武市;Kyoto;Japan;12;12062,67
Maruti;Wagon R;2023;Van;Diesel;Manual;35222;14256,00;excellent;Meyer-la-Forêt;NAQ;France;2;17611,00
Tata;Punch;2014;Convertible;Diesel;AMT;178086;2275,00;good;Aurangabad;GJ;India;11;16189,64
Kia;Sorento;2014;Crossover;Petrol;Manual;273114;2137,00;excellent;Hardy;CVL;France;11;24828,55
Honda;Civic;2021;Hatchback;Petrol;Automatic;50134;8478,00;good;Danielchester;WA;US;4;12533,50
Skoda;Kushaq;2025;MPV;Petrol;Manual;102993;29509,00;good;Borges;PR;Brazil;0;13684,21
Honda;City;2019;SUV;Diesel;Automatic;114546;4725,00;salvage;Bremen;BW;Germany;6;19091,00
Volkswagen;Taigun;2017;Hatchback;Petrol;AMT;196601;2632,00;excellent;Delmas;NAQ;France;8;24575,12
Maruti;Baleno;2012;Crossover;Petrol;Automatic;137654;1296,00;like new;Bloemfontein;NW;South Africa;13;10588,77
Chevrolet;Malibu;2019;MPV;Electric;Automatic;113302;9074,00;good;Senftenberg;BB;Germany;6;18883,67
Maruti;Ertiga;2015;Crossover;Diesel;Automatic;202392;1686,00;good;Schongau;NI;Germany;10;20239,20
Maruti;Swift;2016;SUV;Petrol;Manual;124152;3329,00;desconhecido;横浜市青葉区;Osaka;Japan;9;13794,67
Audi;Q5;2007;Pickup;Petrol;Manual;363675;1206,00;fair;西多摩郡奥多摩町;Aichi;Japan;18;20204,17
Maruti;Wagon R;2019;MPV;CNG;Automatic;74322;5149,00;fair;Kaiserslautern;SL;Germany;6;12387,00
Kia;Sportage;2021;Pickup;CNG;CVT;57107;14167,00;fair;South Kristibury;NS;Canada;4;14276,75
Mahindra;Scorpio;2017;Pickup;Petrol;Automatic;95892;4293,00;good;Souza;PA;Brazil;8;11986,50
Maruti;Dzire;2020;Convertible;Petrol;Manual;36603;12761,00;like new;Durban;FS;South Africa;5;7320,60
Mercedes-Benz;E-Class;2017;Sedan;Petrol;AMT;211338;3757,00;fair;Jessen;SL;Germany;8;26417,25
Mahindra;Bolero;2015;Pickup;Petrol;CVT;244791;2451,00;excellent;Siliguri;UP;India;10;24479,10
Nissan;Sentra;2022;Hatchback;Hybrid;Automatic;47931;9379,00;good;Moraes;PE;Brazil;3;15977,00
Mahindra;Bolero;2020;Pickup;Hybrid;Automatic;73328;9922,00;desconhecido;Durban;LP;South Africa;5;14665,60
Toyota;Fortuner;2013;Pickup;Petrol;Automatic;143261;1413,00;salvage;Dunlapburgh;IL;US;12;11938,42
Hyundai;Elantra;2012;Pickup;Diesel;Manual;105091;2934,00;excellent;da Cruz;MG;Brazil;13;8083,92
Nissan;Rogue;2012;Coupe;Petrol;Automatic;317266;1696,00;excellent;Viechtach;NI;Germany;13;24405,08
Toyota;Highlander;2015;Hatchback;CNG;Manual;133506;2851,00;excellent;Mirzapur;KL;India;10;13350,60
Skoda;Slavia;2015;Van;Diesel;Manual;101504;2627,00;fair;Mooreshire;SK;Canada;10;10150,40
Mercedes-Benz;E-Class;2012;Convertible;Petrol;Manual;198047;3052,00;good;Port Susanport;SK;Canada;13;15234,38
Nissan;Magnite;2022;Crossover;Petrol;Automatic;68123;12291,00;fair;長生郡長柄町;Kanagawa;Japan;3;22707,67
Kia;Sonet;2022;Van;Hybrid;Automatic;75957;13772,00;good;Ambarnath;TG;India;3;25319,00
Toyota;Innova;2024;Sedan;Electric;Automatic;9009;27991,00;excellent;Miryalaguda;HR;India;1;9009,00
Kia;Sportage;2013;Van;Diesel;Automatic;205699;1506,00;fair;Calau;SH;Germany;12;17141,58
Kia;Sorento;2017;SUV;Petrol;Manual;57736;7547,00;good;South Ronaldstad;NIR;UK;8;7217,00
Kia;Sorento;2023;Hatchback;Hybrid;Manual;21550;15282,00;excellent;Lake Howardtown;SCT;UK;2;10775,00
Maruti;Swift;2017;SUV;Petrol;Automatic;98011;2080,00;salvage;Freitas;BA;Brazil;8;12251,38
Mahindra;Scorpio;2009;Sedan;Petrol;Automatic;211374;1290,00;good;West Sethstad;AB;Canada;16;13210,88
BMW;X5;2025;MPV;Hybrid;CVT;102993;51598,00;excellent;Clarkberg;NSW;Australia;0;13684,21
BMW;3 Series;2020;Hatchback;Petrol;CVT;89566;11267,00;good;Uluberia;UP;India;5;17913,20
Ford;Explorer;2017;Hatchback;Plug-in Hybrid;AMT;77652;4834,00;excellent;Moreau-sur-Guérin;NAQ;France;8;9706,50
Mahindra;Bolero;2019;Sedan;Petrol;Automatic;88611;5507,00;good;Alves-sur-Raymond;PACA;France;6;14768,50
Mercedes-Benz;GLA;2016;Hatchback;Diesel;Automatic;137419;2896,00;good;West Kristin;NT;Australia;9;15268,78
Mahindra;XUV700;2017;Pickup;Diesel;CVT;186580;1903,00;salvage;Anand;TN;India;8;23322,50
Volkswagen;Jetta;2017;Crossover;Hybrid;Automatic;146750;5876,00;like new;GoncalvesVille;HDF;France;8;18343,75
Ford;F-150;2018;SUV;Petrol;Manual;101324;7072,00;excellent;Johannesburg;GP;South Africa;7;14474,86
Volkswagen;Jetta;2023;MPV;Diesel;Automatic;26941;14988,00;fair;Clément;OCC;France;2;13470,50
Chevrolet;Equinox;2021;MPV;Hybrid;Automatic;61378;12123,00;excellent;Andrade da Praia;CE;Brazil;4;15344,50
Mahindra;Bolero;2016;Coupe;Diesel;Automatic;123787;2983,00;new;Cape Town;KZN;South Africa;9;13754,11
Maruti;Wagon R;2016;SUV;Electric;Automatic;70015;4220,00;good;West Raymond;FL;US;9;7779,44
Chevrolet;Silverado;2012;SUV;Petrol;Manual;224195;1668,00;good;Perrot;CVL;France;13;17245,77
Honda;City;2018;Convertible;Hybrid;CVT;180089;6677,00;excellent;Charrier-la-Forêt;BFC;France;7;25727,00
Nissan;Altima;2019;MPV;Petrol;Automatic;113109;7394,00;good;Deschamps-sur-Mer;CVL;France;6;18851,50
BMW;5 Series;2018;Coupe;Petrol;Automatic;115722;6083,00;fair;Port Elizabeth;LP;South Africa;7;16531,71
BMW;X5;2019;Convertible;Diesel;Automatic;126181;16170,00;good;Jeandan;PACA;France;6;21030,17
Kia;Sorento;2023;Sedan;Electric;Automatic;37611;16732,00;fair;Gopalpur;UP;India;2;18805,50
Maruti;Swift;2013;Van;Diesel;Manual;223707;1269,00;fair;横浜市栄区;Aichi;Japan;12;18642,25
Audi;Q3;2020;Convertible;Diesel;Automatic;76566;20840,00;like new;Port Maria;WLS;UK;5;15313,20
Chevrolet;Malibu;2018;MPV;Petrol;Manual;55143;7831,00;excellent;Munozbury;WA;Australia;7;7877,57
Skoda;Slavia;2024;SUV;Diesel;Manual;11136;30822,00;excellent;Hardington;WLS;UK;1;11136,00
Hyundai;Elantra;2024;SUV;Petrol;Automatic;13798;27560,00;good;East Malcolmport;SCT;UK;1;13798,00
Tata;Punch;2018;Van;Petrol;Automatic;90168;3992,00;good;South Timothy;SA;Australia;7;12881,14
Toyota;Innova;2024;Convertible;Electric;Automatic;7756;42242,00;excellent;East London;KZN;South Africa;1;7756,00
Mercedes-Benz;C-Class;2008;Crossover;Petrol;DCT;418428;1289,00;good;Kusel;TH;Germany;17;24613,41
Nissan;Rogue;2022;Coupe;Petrol;Automatic;47787;18559,00;excellent;Thomasburgh;OH;US;3;15929,00
Hyundai;Tucson;2015;Convertible;Diesel;Manual;148071;3343,00;excellent;Blaketown;NIR;UK;10;14807,10
Tesla;Model 3;2011;Hatchback;Petrol;Manual;287864;1582,00;excellent;長生郡長柄町;Osaka;Japan;14;20561,71
Ford;Escape;2019;Hatchback;Electric;Manual;54745;8119,00;excellent;Bloemfontein;EC;South Africa;6;9124,17
Chevrolet;Malibu;2018;MPV;Electric;Manual;44823;7439,00;good;Nascimento da Prata;BA;Brazil;7;6403,29
Hyundai;Elantra;2016;Sedan;Petrol;Manual;108096;3586,00;excellent;South Janeberg;ENG;UK;9;12010,67
Skoda;Slavia;2018;MPV;Petrol;Automatic;183411;3853,00;good;Uelzen;HB;Germany;7;26201,57
Chevrolet;Equinox;2020;Crossover;Petrol;Automatic;70037;10862,00;like new;Port Eileenburgh;WLS;UK;5;14007,40
BMW;X5;2022;Pickup;Plug-in Hybrid;Automatic;17104;49353,00;excellent;Mclaughlinstad;NJ;US;3;5701,33
Nissan;Rogue;2013;Coupe;Diesel;Automatic;164443;1938,00;good;South Marcus;GA;US;12;13703,58
Kia;Seltos;2024;Coupe;Petrol;Automatic;24103;25135,00;good;Fouchernec;CVL;France;1;24103,00
Tata;Harrier;2022;Hatchback;Electric;Automatic;47485;7575,00;fair;Saint MichelleVille;GES;France;3;15828,33
Mercedes-Benz;C-Class;2020;Hatchback;Diesel;Automatic;76380;9197,00;good;Alihaven;ENG;UK;5;15276,00
Tesla;Model 3;2022;Van;Electric;Automatic;29518;25337,00;fair;Saint Théodore-les-Bains;ARA;France;3;9839,33
Mercedes-Benz;E-Class;2024;Pickup;Petrol;CVT;9014;63594,00;like new;Pimenta;BA;Brazil;1;9014,00
Ford;F-150;2019;MPV;Petrol;Manual;81458;6203,00;good;St. Vincent;ACT;Australia;6;13576,33
Hyundai;Sonata;2013;SUV;Diesel;Automatic;94033;3434,00;excellent;Cavalcante;PR;Brazil;12;7836,08
Skoda;Slavia;2008;SUV;Diesel;Manual;354640;1217,00;new;Karimnagar;GJ;India;17;20861,18
Nissan;Sentra;2019;Hatchback;CNG;Automatic;52459;6615,00;excellent;Carvalho de Minas;PE;Brazil;6;8743,17
Toyota;Fortuner;2022;Coupe;Petrol;Automatic;68070;13104,00;desconhecido;Hammelburg;HE;Germany;3;22690,00
Tata;Nexon;2021;MPV;Petrol;Automatic;72758;8504,00;good;Reutlingen;HB;Germany;4;18189,50
Honda;Amaze;2015;Pickup;Petrol;CVT;83998;5727,00;excellent;Campos de Siqueira;BA;Brazil;10;8399,80
Volkswagen;Taigun;2016;MPV;Petrol;DCT;111580;5393,00;excellent;香取市;Okinawa;Japan;9;12397,78
Maruti;Dzire;2016;Crossover;Electric;Automatic;99027;4429,00;excellent;Anklam;MV;Germany;9;11003,00
Maruti;Baleno;2018;SUV;Electric;Manual;76875;5446,00;excellent;Hardyberg;WA;Australia;7;10982,14
Chevrolet;Trax;2019;SUV;Petrol;Manual;92163;9999,00;good;Patna;KL;India;6;15360,50
Tata;Harrier;2013;Coupe;Electric;Automatic;90983;2001,00;good;Garystad;QC;Canada;12;7581,92
Chevrolet;Malibu;2015;Crossover;CNG;CVT;119419;1545,00;salvage;Vasconcelos;SP;Brazil;10;11941,90
Audi;A4;2022;Pickup;Petrol;Automatic;41008;27353,00;fair;New Jennifer;IL;US;3;13669,33
Hyundai;Creta;2023;Sedan;Diesel;Manual;21903;17988,00;excellent;Lake Sophieport;WLS;UK;2;10951,50
Toyota;Corolla;2022;Pickup;Diesel;Manual;26781;13320,00;salvage;Silveira;RJ;Brazil;3;8927,00
Chevrolet;Trax;2017;MPV;Petrol;Manual;93496;4455,00;good;North Catherine;SCT;UK;8;11687,00
Kia;Sonet;2021;Convertible;Petrol;Manual;56615;17700,00;excellent;East London;NC;South Africa;4;14153,75
Tesla;Model Y;2025;Convertible;Petrol;Automatic;102993;54760,00;fair;Wendytown;WLS;UK;0;13684,21
BMW;3 Series;2024;Crossover;Diesel;Automatic;8327;23198,00;salvage;Bennettstad;BC;Canada;1;8327,00
Mahindra;Bolero;2023;Sedan;Hybrid;Automatic;30661;11649,00;good;Pondicherry;TN;India;2;15330,50
Nissan;Altima;2016;Crossover;CNG;Manual;194686;2721,00;fair;Carpentier;NAQ;France;9;21631,78
Hyundai;Creta;2021;Coupe;Petrol;Automatic;82623;13690,00;good;Wittstock;NW;Germany;4;20655,75
Chevrolet;Equinox;2021;Hatchback;Petrol;Automatic;99484;8895,00;excellent;Firozabad;KA;India;4;24871,00
Mahindra;Scorpio;2020;Sedan;Hybrid;Manual;75404;7002,00;excellent;Günzburg;RP;Germany;5;15080,80
Chevrolet;Malibu;2013;Hatchback;Petrol;Manual;192483;1149,00;fair;Rockenhausen;SN;Germany;12;16040,25
